D1-Memory D1-Naive D2-Memory D3-Memory D3-Naive D4-Memory D4-Naive
UQCRHL 395 536 500 264 600 501 744
FLJ37453 117 161 107 103 188 123 211
SPEN 1087 821 1077 901 1076 1227 1123
ZBTB17 332 441 321 376 488 445 596
ARHGEF19 143 70 121 76 34 303 138
RSG1 59 29 73 62 36 94 102
FBXO42 305 493 291 320 649 372 622
SZRD1 1754 1766 2217 1626 2559 2396 2626
NECAP2 2023 1871 2500 1901 2139 2665 2056
RP4-798A10.2 30 18 32 10 25 49 35
RP4-798A10.7 9 26 12 9 49 11 27
NBPF1 12 26 43 17 62 21 36
CROCC 188 134 179 222 244 272 264
RP11-108M9.4 89 124 63 62 116 60 141
RP11-108M9.6 4 52 19 8 66 13 42
ATP13A2 287 128 325 275 155 321 146
SDHB 3072 2540 3884 2825 2944 4422 3823
PADI4 39 148 14 50 207 12 167
RCC2 596 568 781 577 578 1050 880
ALDH4A1 36 16 86 38 11 67 35
IFFO2 132 108 137 174 178 238 240
UBR4 624 496 701 634 548 915 759
RP1-43E13.2 33 85 36 42 105 36 80
EMC1 251 161 288 206 198 338 286
MRTO4 1765 959 2503 1393 995 2844 1760
AKR7A2 1565 2229 1739 1379 3088 1757 2950
PQLC2 139 127 165 126 168 211 151
CAPZB 7682 6929 10186 6975 7768 10215 9159
MINOS1 5128 3607 7608 4309 4289 7601 6503
NBL1 362 347 395 421 385 534 278
TMCO4 261 137 349 251 152 394 236
OTUD3 116 121 134 105 161 133 150
UBXN10-AS1 85 106 138 89 209 158 383
CAMK2N1 26 7 23 14 7 32 4
MUL1 334 311 337 283 338 416 352
PINK1 75 53 126 82 61 95 46
PINK1-AS 8 9 10 11 2 12 5
DDOST 2780 2318 3110 2552 3314 3206 3127
HP1BP3 3583 4023 3973 3534 4906 4016 4783
EIF4G3 389 249 488 344 222 523 319
ECE1 975 566 1138 914 574 1726 1176
NBPF3 29 16 79 24 32 66 57
USP48 2111 2062 2360 2032 2621 2639 3126
HSPG2 4 25 1 9 106 5 54
LINC00339 158 150 101 71 84 166 171
CDC42 9728 9463 12603 10058 12482 14447 14671
ZBTB40 126 109 141 105 126 114 122
KDM1A 736 551 929 664 551 913 806
LUZP1 820 644 1278 863 1056 1294 1068
LINC01355 68 55 65 65 52 72 74
HNRNPR 6142 4225 7885 5207 4293 8530 6181
ZNF436 30 39 41 36 44 45 66
ZNF436-AS1 54 263 27 57 372 49 291
TCEA3 141 511 148 192 1239 92 732
ID3 327 808 470 640 1266 568 966
MDS2 29 71 42 92 281 45 208
RPL11 90657 147595 104031 89315 218882 111090 192787
TCEB3 919 762 1198 806 1076 1380 1080
TCEB3-AS1 75 117 68 78 120 68 140
PITHD1 1422 1247 1736 1283 1482 1735 1673
LYPLA2 1437 829 1926 1251 830 1848 1186
GALE 693 454 812 684 479 1019 916
HMGCL 1141 1382 1149 1055 1461 1628 2362
FUCA1 178 146 210 141 168 153 142
PNRC2 2898 2875 3464 2666 3491 4026 4274
SRSF10 4194 2873 5513 3485 2725 5818 4420
IFNLR1 58 242 106 91 375 126 309
STPG1 201 174 247 187 181 317 237
NIPAL3 521 686 680 572 764 704 1087
RCAN3 1471 2685 2170 1713 4238 2528 3227
RP4-594I10.3 122 108 161 113 137 147 123
SRRM1 6250 6851 7580 5563 9193 7688 9273
CLIC4 340 377 337 323 396 602 762
RUNX3 2192 1915 2482 2186 2103 3275 2938
SYF2 3994 6772 4520 3849 9552 5104 7878
RSRP1 2522 2702 2401 2355 3367 2906 3718
TMEM50A 8209 5661 10458 7045 6021 12899 8534
RHCE 27 32 8 22 28 13 33
TMEM57 883 1404 977 837 1521 1272 2125
LDLRAP1 102 174 122 137 252 112 198
RP11-70P17.1 2 17 6 7 30 2 21
MAN1C1 165 202 203 153 176 193 213
RP1-187B23.1 185 200 161 117 221 120 192
SEPN1 141 85 184 121 77 231 210
RP1-317E23.3 15 35 18 14 41 16 39
MTFR1L 508 535 446 440 650 599 622
PAQR7 135 192 125 92 213 180 292
STMN1 19823 15243 26033 16737 11598 26284 19600
PAFAH2 88 86 94 69 65 109 129
PDIK1L 164 197 223 164 214 246 259
ZNF593 2026 1737 2367 1737 1856 2597 2296
CNKSR1 48 42 3 42 58 80 102
CEP85 216 136 227 197 108 264 171
SH3BGRL3 9937 8457 13213 8406 8350 13605 12330
UBXN11 152 187 196 123 280 202 259
CD52 5311 10492 9826 7589 12941 8747 13280
AIM1L 17 4 21 19 8 19 16
DHDDS 507 365 586 440 379 658 552
HMGN2 16163 15207 25174 12846 15341 22643 21047
RPS6KA1 669 575 797 620 680 820 946
ARID1A 758 850 1015 762 972 1187 1324
PIGV 389 374 317 316 345 457 516
ZDHHC18 417 385 514 308 425 470 528
GPN2 660 650 757 573 737 979 980
GPATCH3 204 150 243 186 192 272 227
NUDC 5936 2914 8489 4806 2881 8682 4963
KDF1 1 3 5 8 21 5 15
SLC9A1 113 55 179 102 65 181 119
WDTC1 243 221 219 191 310 274 287
TMEM222 545 463 631 435 494 708 605
SYTL1 573 781 591 504 910 483 682
MAP3K6 105 75 121 121 205 126 84
WASF2 3271 4238 3459 3093 6722 4517 6615
RP1-159A19.4 5 24 8 13 35 12 30
AHDC1 35 55 37 47 145 43 73
IFI6 35709 10650 39872 33452 7082 55826 34180
FAM76A 364 204 508 343 198 559 218
STX12 1177 874 1289 1065 1107 1781 1522
PPP1R8 879 931 1156 796 1105 1288 1269
THEMIS2 378 238 329 410 410 491 463
RPA2 4014 2223 4063 3510 2373 5380 4028
XKR8 236 199 225 213 248 435 287
EYA3 452 537 466 303 570 574 647
DNAJC8 4138 3606 4852 3339 3869 5044 4874
ATPIF1 9555 9958 11029 8303 10429 13150 15487
RP5-1092A3.4 30 41 17 22 48 32 37
SESN2 639 362 871 571 317 1299 651
MED18 321 232 403 261 297 451 347
PHACTR4 498 464 671 519 530 715 701
RCC1 635 926 801 554 1232 852 1151
TRNAU1AP 1118 1305 1295 971 1634 1648 2184
SNHG12 1849 2842 1115 2347 5059 1694 5085
TAF12 1127 1044 1445 1078 1239 1291 1373
RNU11 24 8 26 12 4 31 18
GMEB1 563 564 606 496 696 637 647
YTHDF2 2706 2028 3300 2444 2340 3637 2722
EPB41 759 822 1097 831 1197 913 1282
SRSF4 4123 4535 5094 3857 5406 5682 6983
MECR 550 369 778 482 318 860 694
MATN1-AS1 38 24 40 43 58 34 77
LAPTM5 7435 10990 7490 6405 15309 6540 11695
PUM1 783 946 933 768 1282 1088 1339
SNRNP40 1919 1305 2594 1582 1131 2504 1816
ZCCHC17 1497 1099 1869 1231 1146 1818 1590
PEF1 1357 1130 1971 1225 1170 2353 1915
RP11-84A19.4 10 17 9 2 34 5 24
PTP4A2 3604 4820 4256 3343 5825 4195 6091
KHDRBS1 6181 7177 7176 5543 9441 7995 9807
RP11-277A4.4 12 19 10 9 24 7 25
TMEM39B 377 660 418 379 821 532 851
KPNA6 701 632 950 725 792 967 860
TXLNA 1220 590 1413 1028 455 1709 1025
CCDC28B 841 690 863 675 705 1091 945
IQCC 77 64 83 75 67 85 91
TMEM234 156 134 177 143 168 202 186
EIF3I 6500 6483 9045 5525 7993 9462 8900
FAM167B 16 30 16 15 85 19 37
LCK 4680 5493 7342 5234 5880 5353 6071
HDAC1 3265 1767 4191 2772 1657 4030 2188
MARCKSL1 389 234 718 389 293 709 373
FAM229A 19 16 30 23 20 37 23
BSDC1 855 576 812 720 662 993 989
ZBTB8A 39 33 61 39 36 59 46
ZBTB8OS 1959 1048 2469 1774 1025 2344 1713
RBBP4 2156 2100 2674 1987 2070 2719 2766
SYNC 219 152 260 189 198 270 219
YARS 2157 2665 2753 2033 3593 3275 4024
S100PBP 594 787 759 606 1213 697 952
RNF19B 250 131 272 405 115 464 193
AK2 3336 5014 3470 3096 5953 4564 8009
AZIN2 28 13 28 33 12 39 9
TRIM62 28 33 30 26 34 31 24
ZNF362 90 84 129 95 77 149 109
PHC2 119 96 122 128 112 142 117
ZSCAN20 27 28 39 25 33 45 46
SMIM12 2050 1147 2693 1738 1419 3054 1713
DLGAP3 49 11 34 31 12 58 32
RP11-244H3.4 27 29 20 28 26 24 38
ZMYM6 193 278 241 223 342 246 458
ZMYM1 71 73 61 91 82 56 105
SFPQ 6000 3830 7362 5247 3940 8013 5454
ZMYM4 531 495 570 559 564 713 771
KIAA0319L 514 321 492 576 470 671 723
NCDN 148 71 177 172 82 198 155
RP4-728D4.2 256 136 222 193 117 287 145
PSMB2 7296 2883 9565 5685 2852 9941 5141
C1orf216 318 172 400 260 198 471 231
CLSPN 2047 707 2868 1651 553 2963 1255
AGO4 160 41 131 96 54 138 74
AGO1 241 248 270 210 323 305 387
AGO3 760 725 814 693 861 962 962
ADPRHL2 1788 1656 1809 1478 1635 2780 2462
TRAPPC3 2456 1635 3366 2250 1708 3457 2146
MAP7D1 1684 992 2101 1533 997 2362 1298
THRAP3 6180 5329 7678 5399 6221 8503 8039
SH3D21 113 453 68 179 701 154 799
EVA1B 309 170 431 315 139 455 183
STK40 387 215 480 380 291 593 374
LSM10 1565 1264 2377 1658 1832 2246 2169
OSCP1 49 47 63 56 53 89 62
MRPS15 3371 3929 5059 3402 4369 4807 5021
LINC01137 104 59 140 131 85 204 106
ZC3H12A 584 468 792 685 384 1058 829
MEAF6 2992 2603 3863 3068 4316 4365 3410
SNIP1 215 163 308 238 242 346 316
GNL2 1650 1256 2299 1663 1660 2584 2123
C1orf109 315 246 473 271 301 498 394
CDCA8 1098 1198 1417 779 1127 1400 1328
YRDC 704 416 1101 623 542 1316 610
C1orf122 1514 955 2108 1342 1160 2247 1532
MTF1 376 256 417 317 309 504 360
INPP5B 208 246 225 210 273 254 358
SF3A3 1990 1398 2371 1605 1466 2467 2219
FHL3 638 1165 1039 1077 2178 841 1471
UTP11L 1614 658 2287 1366 771 2184 1167
RRAGC 1188 770 1486 978 924 1839 1016
RP5-864K19.4 25 13 26 27 28 25 24
MYCBP 1039 652 1343 811 479 1323 910
AKIRIN1 1779 1387 2096 1635 1780 2656 1716
NDUFS5 13797 12369 21014 13152 14549 15873 16954
MACF1 2523 2444 3387 2416 2787 3281 3556
RP11-69E11.4 86 67 78 59 45 51 36
PABPC4 1458 2027 1840 1223 2855 1797 2380
